	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	2	3	3
1	organizzare il cenone	4	4	4
2	portare la cena	3	5	5
3	preparare la visita	2	3	2
4	cucinare il pranzo	5	5	5
5	prenotare il cenone	3	4	4
6	annunciare il ritiro	2	1	2
7	preparare la lasagna	5	5	5
8	annunciare il presidente	1	2	3
9	cucinare la colazione	5	5	5
10	cucinare la carne	5	5	5
11	annullare la cena	2	3	3
12	preparare il convegno	2	3	2
13	prenotare l'apertivo	3	3	3
14	organizzare il servizio	2	2	2
15	preparare il panino	5	5	5
16	pagare l'incontro	3	5	5
17	confezionare il pranzo	2	3	3
18	portare la arma	3	5	5
19	annunciare il risultato	3	3	3
20	preparare la festa	3	4	4
21	pagare la gita	4	5	4
22	prenotare il pranzo	5	5	5
23	annunciare il cenone	4	3	3
24	annullare l'apertivo	3	3	3
25	organizzare la campagna	1	3	3
26	pagare la pasta	5	5	5
27	prenotare il posto	4	5	4
28	confezionare la cena	2	3	3
29	organizzare il banchetto	3	4	4
30	annullare l'effetto	2	1	1
31	organizzare l'apertivo	5	5	5
32	confezione il pacco	5	5	5
33	annunciare la decisione	4	5	4
34	cucinare il piatto	5	5	5
35	prenotare il merenda	3	4	2
36	cucinare la cena	5	5	5
37	annullare il decreto	2	2	2
38	preparare il colloquio	3	3	3
39	portare la colazione	5	5	5
40	annunciare la battaglia	2	2	2
41	cucinare la verdura	5	5	5
42	cucinare la merenda	5	5	5
43	pagare il pane	5	5	5
44	confezione il regalo	5	5	5
45	annullare il pranzo	2	3	4
46	annunciare l'arrivo	4	5	4
47	annunciare il pranzo	5	4	4
48	annullare il colazione	2	3	3
49	confezionare l'aperitivo	1	1	1
50	pagare il risotto	5	5	5
51	cucinare la ricetta	5	5	5
52	annullare la decisione	3	2	4
53	portare l'aperitivo	5	5	5
54	cucinare il cibo	5	5	5
55	prenotare l'aereo	5	5	5
56	annullare l'ordinanza	3	3	2
57	preparare la gita	4	3	3
58	prenotare la cena	5	5	5
59	organizzare la cena	5	5	5
60	confezione il vestito	1	5	5
61	organizzare il corso	4	5	5
62	prenotare il volo	5	5	5
63	annullare l'iscrizione	4	5	5
64	confezione la camicia	1	5	5
65	confezione l'abito	1	4	3
66	pagare la visita	5	5	5
67	organizzare la spedizione	4	3	5
68	organizzare il merenda	4	5	5
69	annunciare il voto	2	3	3
70	prenotare il banchetto	3	4	4
71	preparare la pasta	5	5	5
72	pagare il convegno	1	5	5
73	annunciare il ministro	1	3	3
74	prenotare il biglietto	5	5	5
75	preparare il pane	5	5	5
76	portare la firma	4	5	5
77	annullare il cenone	3	2	2
78	annunciare l'intenzione	3	3	3
79	prenotare il banchetto	4	3	3
80	annullare la condanna	1	2	2
81	annullare il merenda	4	3	5
82	portare la mano	5	5	5
83	preparare la pizza	5	5	5
84	cucinare il cenone	4	4	4
85	preparare il risotto	5	5	5
86	portare il nome	5	5	5
87	pagare la lasagna	3	2	2
88	confezionare la colazione	3	3	3
89	portare il pranzo	5	4	3
90	portare l'acqua	5	5	5
91	organizzare il colazione	5	4	5
92	pagare il viaggio	3	5	5
93	preparare l'incontro	5	5	5
94	annunciare la cena	4	5	5
95	pagare la festa	2	3	3
96	portare il peso	5	5	5
97	pagare la pizza	5	5	5
98	organizzare la difesa	1	2	2
99	prenotare l'albergo	4	5	5
100	organizzare l'azione	3	3	3
101	prenotare la camera	5	5	5
102	annunciare l'apertivo	3	3	3
103	confezione il prodotto	2	3	4
104	confezionare la merenda	2	3	3
105	prenotare il treno	1	5	5
106	cucinare il banchetto	5	5	5
107	portare l'attenzione	5	4	5
108	annunciare il banchetto	3	4	4
109	portare il risultato	3	3	3
110	pagare il panino	5	5	5
111	portare la merenda	5	5	5
112	portare l'esempio	5	2	2
113	portare il frutto	3	5	5
114	organizzare il pranzo	5	5	5
115	preparare il viaggio	2	3	4
116	organizzare la giornata	5	2	5
117	prenotare il colazione	1	2	3
