	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'acqua	3	5	4
1	aprire la scatola	4	5	5
2	raccogliere la frutta	3	5	5
3	raccogliere il grano	3	5	5
4	aprire il cassetto	5	5	5
5	regalare l'anello	3	5	5
6	regalare il biglietto	3	5	5
7	regalare la bottiglia	1	5	3
8	raccogliere il fiore	4	5	5
9	aprire la bottega	5	5	5
10	aprire il pacco	5	5	5
11	raccogliere la legna	4	5	5
12	regalare il fiore	3	5	5
13	aprire la busta	5	5	5
14	aprire il frigo	5	5	5
15	regalare la gioiello	3	5	5
16	aprire il portone	5	5	5
17	aprire la porta	5	5	5
18	regalare la foto	3	5	5
19	aprire il coperchio	5	5	5
20	regalare la collana	3	5	5
21	aprire la finestra	5	5	5
22	raccogliere l'erba	2	5	4
23	raccogliere la moneta	4	5	5
24	raccogliere la palla	4	5	5
25	aprire il portello	5	5	5
