	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	5	5	5
1	portare l'abito	5	5	5
2	offrire il viaggio	1	2	2
3	portare il libro	5	5	5
4	annullare l'intervento	2	2	3
5	preparare il concerto	5	2	2
6	confezionare il cibo	5	5	5
7	preparare la mostra	4	2	3
8	annullare il corso	4	2	3
9	portare il pacchtto	5	5	5
10	pagare il concerto	5	2	3
11	portare il fiore	5	5	5
12	portare il piatto	5	5	5
13	confezionare il piatto	1	1	1
14	confezionare la verdura	5	5	5
15	annullare il servizio	4	2	3
16	portare la verdura	5	5	5
17	offrire la festa	2	2	3
18	prenotare la mostra	5	2	3
19	annullare la spedizione	5	1	2
20	offrire la gita	1	1	2
21	portare la camicia	5	5	5
22	confezionare il fiore	5	5	5
23	prenotare il servizio	4	1	3
24	offrire la mostra	1	2	2
25	prenotare l'iscrizione	5	2	3
26	prenotare la spedizione	5	2	3
27	offrire il convegno	1	1	2
28	prenotare l'incontro	4	2	3
29	annullare l'incontro	4	2	3
30	prenotare l'intervento	1	2	1
31	portare il legno	5	5	5
32	prenotare il concerto	5	2	3
33	annullare l'appuntamento	4	2	2
34	confezionare il libro	5	5	5
35	annullare l'iscrizione	5	2	3
36	annullare la mostra	1	2	2
37	confezionare il carne	1	2	2
38	portare il carne	5	5	5
39	organizzare il concerto	4	2	3
40	prenotare l'appuntamento	5	2	3
41	portare il cibo	5	5	5
42	pagare la mostra	5	3	3
43	annullare il concerto	3	2	3
44	organizzare la mostra	3	2	3
45	offrire la vista	2	1	1
46	offrire il concerto	2	1	2
47	prenotare il corso	5	2	3
