	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	5	4	4
1	portare l'abito	5	5	3
2	offrire il viaggio	4	2	2
3	portare il libro	4	4	5
4	annullare l'intervento	5	2	2
5	preparare il concerto	3	3	2
6	confezionare il cibo	4	4	2
7	preparare la mostra	4	3	2
8	annullare il corso	4	1	3
9	portare il pacchtto	3	3	4
10	pagare il concerto	4	3	1
11	portare il fiore	4	5	5
12	portare il piatto	5	5	5
13	confezionare il piatto	2	3	1
14	confezionare la verdura	3	3	2
15	annullare il servizio	5	1	3
16	portare la verdura	5	4	4
17	offrire la festa	3	2	3
18	prenotare la mostra	3	4	1
19	annullare la spedizione	4	2	5
20	offrire la gita	2	1	2
21	portare la camicia	5	3	5
22	confezionare il fiore	4	4	5
23	prenotare il servizio	5	4	3
24	offrire la mostra	1	1	1
25	prenotare l'iscrizione	1	2	3
26	prenotare la spedizione	2	1	3
27	offrire il convegno	1	1	1
28	prenotare l'incontro	3	3	4
29	annullare l'incontro	5	3	5
30	prenotare l'intervento	4	3	5
31	portare il legno	3	4	5
32	prenotare il concerto	4	4	4
33	annullare l'appuntamento	5	5	5
34	confezionare il libro	3	5	3
35	annullare l'iscrizione	5	2	4
36	annullare la mostra	5	3	2
37	confezionare il carne	5	3	4
38	portare il carne	5	4	5
39	organizzare il concerto	4	4	4
40	prenotare l'appuntamento	5	3	5
41	portare il cibo	3	4	5
42	pagare la mostra	5	3	4
43	annullare il concerto	5	3	4
44	organizzare la mostra	5	2	3
45	offrire la vista	1	1	1
46	offrire il concerto	4	3	4
47	prenotare il corso	4	3	4
