	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	1	3	3
1	organizzare il cenone	5	5	5
2	portare la cena	5	5	5
3	preparare la visita	3	4	5
4	cucinare il pranzo	5	5	5
5	prenotare il cenone	4	5	5
6	annunciare il ritiro	2	5	5
7	preparare la lasagna	5	5	5
8	annunciare il presidente	1	4	5
9	cucinare la colazione	5	5	5
10	cucinare la carne	5	5	5
11	annullare la cena	5	5	5
12	preparare il convegno	1	4	5
13	prenotare l'apertivo	2	4	4
14	organizzare il servizio	3	2	4
15	preparare il panino	5	5	5
16	pagare l'incontro	1	4	2
17	confezionare il pranzo	4	5	5
18	portare la arma	1	4	5
19	annunciare il risultato	3	5	5
20	preparare la festa	5	5	5
21	pagare la gita	4	5	5
22	prenotare il pranzo	5	5	5
23	annunciare il cenone	2	3	4
24	annullare l'apertivo	3	4	5
25	organizzare la campagna	3	4	5
26	pagare la pasta	5	5	5
27	prenotare il posto	5	5	5
28	confezionare la cena	3	5	5
29	organizzare il banchetto	4	5	5
30	annullare l'effetto	3	2	2
31	organizzare l'apertivo	5	3	5
32	confezione il pacco	4	5	5
33	annunciare la decisione	3	4	5
34	cucinare il piatto	5	5	5
35	prenotare il merenda	1	2	1
36	cucinare la cena	5	5	5
37	annullare il decreto	1	3	3
38	preparare il colloquio	4	4	5
39	portare la colazione	4	5	5
40	annunciare la battaglia	1	2	4
41	cucinare la verdura	5	5	5
42	cucinare la merenda	1	4	4
43	pagare il pane	5	5	5
44	confezione il regalo	5	5	5
45	annullare il pranzo	5	5	5
46	annunciare l'arrivo	5	5	5
47	annunciare il pranzo	3	5	5
48	annullare il colazione	4	4	5
49	confezionare l'aperitivo	1	4	4
50	pagare il risotto	5	5	5
51	cucinare la ricetta	5	5	5
52	annullare la decisione	5	3	5
53	portare l'aperitivo	2	5	5
54	cucinare il cibo	5	5	5
55	prenotare l'aereo	3	5	5
56	annullare l'ordinanza	3	4	5
57	preparare la gita	3	4	5
58	prenotare la cena	5	4	5
59	organizzare la cena	5	5	5
60	confezione il vestito	2	4	4
61	organizzare il corso	1	3	4
62	prenotare il volo	4	5	5
63	annullare l'iscrizione	3	4	5
64	confezione la camicia	3	5	4
65	confezione l'abito	3	5	4
66	pagare la visita	5	5	5
67	organizzare la spedizione	2	4	5
68	organizzare il merenda	3	3	4
69	annunciare il voto	4	4	4
70	prenotare il banchetto	2	3	3
71	preparare la pasta	5	5	5
72	pagare il convegno	2	4	4
73	annunciare il ministro	1	2	1
74	prenotare il biglietto	4	4	5
75	preparare il pane	5	5	5
76	portare la firma	3	4	3
77	annullare il cenone	4	4	5
78	annunciare l'intenzione	4	2	5
79	prenotare il banchetto	3	3	5
80	annullare la condanna	1	2	2
81	annullare il merenda	1	2	3
82	portare la mano	1	4	4
83	preparare la pizza	4	5	5
84	cucinare il cenone	5	5	5
85	preparare il risotto	5	5	5
86	portare il nome	3	1	1
87	pagare la lasagna	3	5	5
88	confezionare la colazione	1	4	3
89	portare il pranzo	3	4	4
90	portare l'acqua	5	5	5
91	organizzare il colazione	5	2	5
92	pagare il viaggio	5	4	5
93	preparare l'incontro	5	4	5
94	annunciare la cena	5	2	5
95	pagare la festa	5	5	5
96	portare il peso	5	5	5
97	pagare la pizza	5	5	5
98	organizzare la difesa	5	4	5
99	prenotare l'albergo	5	4	5
100	organizzare l'azione	5	3	5
101	prenotare la camera	5	4	5
102	annunciare l'apertivo	2	2	3
103	confezione il prodotto	2	4	4
104	confezionare la merenda	2	4	4
105	prenotare il treno	2	2	3
106	cucinare il banchetto	1	5	4
107	portare l'attenzione	1	1	1
108	annunciare il banchetto	1	2	1
109	portare il risultato	1	1	1
110	pagare il panino	5	5	5
111	portare la merenda	5	4	5
112	portare l'esempio	5	3	5
113	portare il frutto	5	5	5
114	organizzare il pranzo	5	4	5
115	preparare il viaggio	5	4	5
116	organizzare la giornata	5	4	5
117	prenotare il colazione	2	4	3
